[272.799, -47.3998, 126.614, -168.642, 92.8674, -54.5341, -16.2205, -205.452]
[272.799, -47.3998, 126.614, -168.642, 95.0713, -54.5341, -18.4244, -205.452]
[272.799, -48.7083, 127.922, -168.642, 95.0713, -54.5341, -18.4244, -205.452]
[264.355, -48.7083, 127.922, -168.642, 95.0713, -46.0894, -18.4244, -205.452]
[266.139, -48.7083, 126.138, -168.642, 95.0713, -46.0894, -18.4244, -205.452]
[266.139, -46.6785, 126.138, -170.672, 95.0713, -46.0894, -18.4244, -205.452]
[266.248, -46.6785, 126.138, -170.781, 95.0713, -46.0894, -18.4244, -205.452]
[266.618, -46.6785, 126.138, -170.781, 95.0713, -46.4588, -18.4244, -205.452]
[267.954, -46.6785, 126.138, -170.781, 93.735, -46.4588, -18.4244, -205.452]
[267.954, -48.0004, 127.46, -170.781, 93.735, -46.4588, -18.4244, -205.452]
[267.954, -49.2929, 128.753, -170.781, 93.735, -46.4588, -18.4244, -205.452]
[267.954, -49.2929, 128.753, -171.362, 94.316, -46.4588, -18.4244, -205.452]
[267.954, -47.2962, 128.753, -173.359, 94.316, -46.4588, -18.4244, -205.452]
[267.954, -47.2962, 128.753, -174.894, 94.316, -46.4588, -16.889, -205.452]
[267.954, -47.2962, 128.753, -175.45, 94.8721, -46.4588, -16.889, -205.452]
[269.273, -47.2962, 128.753, -175.45, 93.5531, -46.4588, -16.889, -205.452]
[269.273, -47.2962, 128.753, -176.94, 93.5531, -46.4588, -15.399, -205.452]
[269.63, -47.2962, 128.753, -176.94, 93.5531, -46.8165, -15.399, -205.452]
[269.63, -47.2962, 128.753, -176.94, 95.2818, -48.5451, -15.399, -205.452]
[271.352, -47.2962, 127.031, -176.94, 95.2818, -48.5451, -15.399, -205.452]
[271.352, -47.2962, 127.031, -181.943, 95.2818, -48.5451, -15.399, -200.45]
[271.352, -47.2962, 127.031, -181.943, 96.963, -50.2263, -15.399, -200.45]
[271.352, -45.4868, 127.031, -183.753, 96.963, -50.2263, -15.399, -200.45]
[271.352, -45.4868, 127.031, -185.125, 96.963, -50.2263, -14.0262, -200.45]
[271.352, -46.812, 128.356, -185.125, 96.963, -50.2263, -14.0262, -200.45]
[271.352, -46.812, 128.722, -185.491, 96.963, -50.2263, -14.0262, -200.45]
[271.352, -46.812, 128.722, -178.527, 96.963, -57.1904, -14.0262, -200.45]
[271.352, -46.812, 128.722, -178.527, 99.1356, -57.1904, -16.1989, -200.45]
[271.352, -46.812, 128.722, -179.04, 99.6493, -57.1904, -16.1989, -200.45]
[271.352, -44.9676, 128.722, -180.885, 99.6493, -57.1904, -16.1989, -200.45]
[271.446, -44.9676, 128.722, -180.979, 99.6493, -57.1904, -16.1989, -200.45]
[271.446, -44.9676, 128.722, -180.979, 101.744, -57.1904, -18.2932, -200.45]
[271.446, -44.9676, 128.722, -180.979, 103.772, -57.1904, -20.3214, -200.45]
[271.446, -44.9676, 128.722, -177.022, 103.772, -57.1904, -20.3214, -204.407]
[271.446, -44.9676, 128.722, -177.022, 105.232, -58.6509, -20.3214, -204.407]
[271.446, -44.9676, 128.722, -177.022, 106.658, -60.0763, -20.3214, -204.407]
[271.446, -46.2797, 130.034, -177.022, 106.658, -60.0763, -20.3214, -204.407]
[271.446, -46.2797, 130.034, -178.535, 106.658, -60.0763, -18.8082, -204.407]
[272.861, -46.2797, 130.034, -178.535, 105.243, -60.0763, -18.8082, -204.407]
[272.861, -46.2797, 130.034, -178.535, 107.209, -60.0763, -20.7746, -204.407]
[272.861, -46.2797, 130.034, -170.246, 98.9206, -60.0763, -20.7746, -204.407]
[272.861, -47.5629, 131.317, -170.246, 98.9206, -60.0763, -20.7746, -204.407]
[272.861, -48.8181, 132.572, -170.246, 98.9206, -60.0763, -20.7746, -204.407]
[272.861, -48.8181, 133.686, -170.246, 98.9206, -61.1906, -20.7746, -204.407]
[273.161, -48.8181, 133.686, -170.246, 98.9206, -61.4904, -20.7746, -204.407]
[273.161, -48.8181, 133.686, -166.605, 98.9206, -61.4904, -20.7746, -208.048]
